username,repo_name,stars,repo_url
vercel,next.js,"122,868",https://github.com/vercel/next.js
rust-lang,rust,"94,797",https://github.com/rust-lang/rust
sveltejs,svelte,"77,453",https://github.com/sveltejs/svelte
webpack,webpack,"64,336",https://github.com/webpack/webpack
FuelLabs,sway,"62,968",https://github.com/FuelLabs/sway
gatsbyjs,gatsby,"55,137",https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,"48,286",https://github.com/JetBrains/kotlin
parcel-bundler,parcel,"43,276",https://github.com/parcel-bundler/parcel
babel,babel,"43,046",https://github.com/babel/babel
evanw,esbuild,"37,618",https://github.com/evanw/esbuild
vlang,v,"35,520",https://github.com/vlang/v
markedjs,marked,"32,314",https://github.com/markedjs/marked
carbon-language,carbon-lang,"32,304",https://github.com/carbon-language/carbon-lang
ziglang,zig,"32,084",https://github.com/ziglang/zig
swc-project,swc,"30,473",https://github.com/swc-project/swc
typst,typst,"29,844",https://github.com/typst/typst
vercel,pkg,"24,238",https://github.com/vercel/pkg
v8,v8,"22,920",https://github.com/v8/v8
oracle,graal,"19,973",https://github.com/oracle/graal
crystal-lang,crystal,"19,208",https://github.com/crystal-lang/crystal
